🕘️更新时间,#genre#
2025-02-16 09:28:06,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

📡央视频道,#genre#
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000001000018602
CCTV1,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226016
CCTV1,http://220.202.110.48:9003/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV1,http://60.214.104.110:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://175.18.189.238:9998/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://42.227.91.217:9003/hls/1/index.m3u8
CCTV1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.213.65.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://1.197.249.81:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://152.69.209.202:7777/TVOD/5000000011000265001/bestzb/index.m3u8?ace
CCTV1,http://101.66.199.171:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8
CCTV1,http://111.160.27.70:35793/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.220.211.90:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.140.12.230:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://183.215.211.219:9998/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://218.29.168.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2,http://39.164.180.36:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000001000023315
CCTV2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV2,http://220.202.110.48:9003/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV2,http://60.214.104.110:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://175.18.189.238:9998/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://42.227.91.217:9003/hls/2/index.m3u8
CCTV2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8
CCTV2,http://218.58.136.82:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://36.44.157.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.101.119.26:8090/hls/114/index.m3u8
CCTV2,http://1.197.249.81:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://152.69.209.202:7777/TVOD/1000000005000265002/ystenlive/index.m3u8?ace
CCTV2,http://101.66.199.171:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8
CCTV2,http://101.66.198.187:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.140.12.230:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://183.215.211.219:9998/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2,http://218.29.168.146:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000001000011218
CCTV3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV3,http://220.202.110.48:9003/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://221.226.51.220:50081/newlive/live/hls/3/live.m3u8
CCTV3,http://175.18.189.238:9998/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://42.227.91.217:9003/hls/3/index.m3u8
CCTV3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://36.44.157.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.101.119.26:8090/hls/115/index.m3u8
CCTV3,http://1.197.249.81:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://152.69.209.202:7777/TVOD/5000000011000265003/bestzb/index.m3u8?ace
CCTV3,http://61.133.10.250:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8
CCTV3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.134.19.31:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.140.12.230:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
CCTV3,http://60.212.2.115:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.29.168.146:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://219.128.121.202:59901/tsfile/live/0003_1.m3u8
CCTV3,http://219.128.121.202:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV3,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV3,http://183.223.157.33:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV4,http://goo.bkpcp.top/mg/cctv4o
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV4,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000002000031664
CCTV4,http://220.202.110.48:9003/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8
CCTV4,http://60.214.104.110:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://175.18.189.238:9998/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://42.227.91.217:9003/hls/4/index.m3u8
CCTV4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8
CCTV4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://218.58.136.82:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://36.44.157.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://113.101.119.26:8090/hls/116/index.m3u8
CCTV4,http://42.238.235.104:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://1.197.249.81:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://152.69.209.202:7777/TVOD/5000000011000265004/bestzb/index.m3u8?ace
CCTV4,http://101.66.199.171:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://111.9.163.109:9901/tsfile/live/0004_1.m3u8
